,Unnamed: 0,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_iterate,sentiment_scores,sentiment_scores_number,openai_mean_sentiment,std_sentiment,nltk_opinion_lexicon_net_z,vader_neg_z,vader_neu_z,vader_pos_z,vader_compound_z,openai_mean_sentiment_z
10,10,10,-0.2779053747653961,1.3916083574295044,0.0012629142729565,2666,30.020000457763672,32.099998474121094,0.0," And, you know, that's a little bit old, that chart.","[50532, 400, 11, 291, 458, 11, 300, 311, 257, 707, 857, 1331, 11, 300, 6927, 13, 50636]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': ""And, you know, that's a little bit old, that chart."", 'sentiment_analysis': {'score': 3, 'sentiment': 'Neutral'}}, {'text': ""And, you know, that's a little bit old, that chart."", 'sentiment_analysis': {'score': 3, 'sentiment': 'Negative'}}, {'text': ""And, you know, that's a little bit old, that chart."", 'sentiment_analysis': {'score': -0.2, 'sentiment': 'negative'}}, {'sentiment_analysis': {'text': ""And, you know, that's a little bit old, that chart."", 'sentiment_score': 4.2, 'sentiment_label': 'Neutral'}}, {'sentiment_analysis': {'text': ""And, you know, that's a little bit old, that chart."", 'sentiment_score': 3}}]","[3, 3, -0.2, 4.2, 3]","[3.0, 3.0, -0.2, 4.2, 3.0]",0.26,0.14751271131668622,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,-0.9630956983633029
11,11,11,-0.2779053747653961,1.3916083574295044,0.0012629142729565,2666,32.099998474121094,33.65999984741211,0.0, That chart's a couple of months old.,"[50636, 663, 6927, 311, 257, 1916, 295, 2493, 1331, 13, 50714]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': ""That chart's a couple of months old."", 'sentiment': {'polarity': 'positive', 'confidence': 0.75}}, {'text': ""That chart's a couple of months old."", 'sentiment': {'score': -0.1, 'rating': 4}}, {'text': ""That chart's a couple of months old."", 'sentiment_score': 6}, {'sentiment_analysis': {'text': ""That chart's a couple of months old."", 'sentiment_score': 6}}, {'sentiment_analysis': {'text': ""That chart's a couple of months old."", 'sentiment_score': 7}}]","[None, -0.1, 6, 6, 7]","[-0.1, 6.0, 6.0, 7.0]",0.4725,0.2815470653372185,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,-0.1450097453898115
12,12,12,-0.2779053747653961,1.3916083574295044,0.0012629142729565,2666,33.65999984741211,36.959999084472656,0.0," And if you want to really see something that's said,","[50714, 400, 498, 291, 528, 281, 534, 536, 746, 300, 311, 848, 11, 50879]",0.0,0.0,0.0,0.0,0.874,0.126,0.0772,"[{'sentiment_analysis': {'text': ""And if you want to really see something that's said"", 'sentiment_score': 7}}, {'sentiment_analysis': {'text': ""And if you want to really see something that's said"", 'sentiment_score': 7}}, {'sentiment_analysis': {'text': ""And if you want to really see something that's said"", 'sentiment_score': 7}}, {'sentiment_analysis': {'text': ""And if you want to really see something that's said"", 'sentiment_score': 8}}, {'sentiment_analysis': {'text': ""And if you want to really see something that's said"", 'score': 6}}]","[7, 7, 7, 8, 6]","[7.0, 7.0, 7.0, 8.0, 6.0]",0.7,0.06324555320336758,-0.3125552895115417,-0.48168739510747166,0.12477620821394297,0.19703072608679925,0.306792913275477,0.7308234513229851
13,13,13,-0.2779053747653961,1.3916083574295044,0.0012629142729565,2666,36.959999084472656,38.560001373291016,0.0, take a look at what happened.,"[50879, 747, 257, 574, 412, 437, 2011, 13, 50959]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'take a look at what happened.', 'sentiment_score': 4.5, 'sentiment_type': 'neutral'}}, {'sentiment_analysis': {'text': 'take a look at what happened.', 'sentiment_score': 3}}, {'sentiment_analysis': {'text': 'take a look at what happened.', 'sentiment_score': 4}}, {'text': 'take a look at what happened.', 'sentiment': {'score': 3, 'magnitude': 0.5}}, {'sentiment_analysis': {'text': 'take a look at what happened.', 'sentiment_score': 3, 'sentiment_label': 'Neutral'}}]","[4.5, 3, 4, 3, 3]","[4.5, 3.0, 4.0, 3.0, 3.0]",0.35,0.06324555320336758,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,-0.6166122359274713
14,14,14,-0.6188684701919556,0.8985507488250732,0.0705201178789138,5666,56.65999984741211,81.91999816894531,0.0, Okay.,"[50364, 1033, 13, 51627]",0.0,0.0,0.0,0.0,0.0,1.0,0.2263,"[{'sentiment_analysis': {'text': 'Okay', 'score': 7}}, {'sentiment_analysis': {'text': 'Okay', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'Okay', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'Okay', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'Okay', 'sentiment_score': 5}}]","[7, 5, 5, 5, 5]","[7.0, 5.0, 5.0, 5.0, 5.0]",0.54,0.07999999999999999,-0.3125552895115417,-0.48168739510747166,-3.661104809378637,4.352107646726914,0.8337671016646894,0.11485285143706246
15,15,15,-0.6188684701919556,0.8985507488250732,0.0705201178789138,5666,81.91999816894531,84.72000122070312,0.0," We are watching live at a rally in Butler, Pennsylvania,","[51627, 492, 366, 1976, 1621, 412, 257, 17584, 294, 27571, 11, 17963, 11, 51767]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'We are watching live at a rally in Butler, Pennsylvania', 'sentiment_score': 7.5, 'sentiment': 'Positive'}, {'text': 'We are watching live at a rally in Butler, Pennsylvania', 'sentiment_score': 8}, {'sentiment_analysis': {'text': 'We are watching live at a rally in Butler, Pennsylvania', 'sentiment_score': 8}}, {'text': 'We are watching live at a rally in Butler, Pennsylvania.', 'sentiment_score': 8}, {'text': 'We are watching live at a rally in Butler, Pennsylvania', 'sentiment_score': 7.5, 'sentiment': 'Positive'}]","[7.5, 8, 8, 8, 7.5]","[7.5, 8.0, 8.0, 8.0, 7.5]",0.78,0.02449489742783178,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,1.038808751265947
16,16,16,-0.2373258024454116,1.6977611780166626,0.0558102913200855,8472,84.77999877929688,87.91999816894531,0.0, where former President Trump was speaking on the stage.,"[50367, 689, 5819, 3117, 3899, 390, 4124, 322, 264, 3233, 13, 50524]",0.1111111111111111,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'Former President Trump was speaking on the stage.', 'sentiment_score': 7}}, {'text': 'former President Trump was speaking on the stage.', 'sentiment_analysis': {'score': 5, 'sentiment': 'Neutral'}}, {'text': 'former President Trump was speaking on the stage.', 'sentiment_analysis': {'polarity': 'neutral', 'score': 5.5}}, {'sentiment_analysis': {'text': 'Former President Trump was speaking on the stage.', 'sentiment_score': 7}}, {'text': 'Former President Trump was speaking on the stage.', 'sentiment_score': 7}]","[7, 5, 5.5, 7, 7]","[7.0, 5.0, 5.5, 7.0, 7.0]",0.63,0.08717797887081347,0.9253847176697315,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,0.46133631387289403
17,17,17,-0.2373258024454116,1.6977611780166626,0.0558102913200855,8472,87.91999816894531,89.77999877929688,0.0, There has been some kind of disturbance,"[50524, 821, 575, 668, 512, 733, 295, 35684, 50617]",0.0,0.1428571428571428,-0.1428571428571428,0.325,0.675,0.0,-0.4391,"[{'sentiment_analysis': {'text': 'There has been some kind of disturbance', 'sentiment_score': 3}}, {'text': 'There has been some kind of disturbance', 'sentiment': {'polarity': 'negative', 'score': 2.5}}, {'text': 'There has been some kind of disturbance', 'sentiment_score': 3, 'sentiment_label': 'Neutral'}, {'text': 'There has been some kind of disturbance', 'sentiment_score': 3}, {'text': 'There has been some kind of disturbance', 'sentiment_analysis': {'score': -4, 'sentiment': 'negative'}}]","[3, 2.5, 3, 3, -4]","[3.0, 2.5, 3.0, 3.0, -4.0]",0.15,0.27568097504180444,-1.9041924416017495,1.7467596285214013,-0.7372264491097679,-0.40198493981783967,-1.5180010066799245,-1.3865754857848749
18,18,18,-0.2373258024454116,1.6977611780166626,0.0558102913200855,8472,89.77999877929688,92.0199966430664,0.0, that clearly sets law enforcement,"[50617, 300, 4448, 6352, 2101, 11475, 50729]",0.2,0.0,0.2,0.0,0.597,0.403,0.4019,"[{'sentiment_analysis': {'text': 'that clearly sets law enforcement', 'sentiment_score': 8}}, {'sentiment_analysis': {'text': 'that clearly sets law enforcement', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'that clearly sets law enforcement', 'sentiment_score': 8}}, {'sentiment_analysis': {'text': 'that clearly sets law enforcement', 'sentiment_score': 8.5, 'sentiment_type': 'positive'}}, {'sentiment_analysis': {'text': 'that clearly sets law enforcement', 'sentiment_score': 7}}]","[8, 7, 8, 8.5, 7]","[8.0, 7.0, 8.0, 8.5, 7.0]",0.77,0.06,1.9157367234147504,-0.48168739510747166,-1.075096837407504,1.513914372559696,1.454402027762246,1.0003105887730768
19,19,19,-0.2373258024454116,1.6977611780166626,0.0558102913200855,8472,92.0199966430664,94.5199966430664,0.0, and Secret Service into motion.,"[50729, 293, 7400, 9561, 666, 5394, 13, 50854]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'Secret Service into motion.', 'sentiment_score': 7.5, 'sentiment': 'Positive'}}, {'sentiment_analysis': {'text': 'Secret Service into motion.', 'sentiment_score': 8.5, 'sentiment': 'Positive'}}, {'sentiment_analysis': {'text': 'Secret Service into motion.', 'sentiment_score': 8}}, {'sentiment_analysis': {'text': 'Secret Service into motion.', 'sentiment_score': 7}}, {'text': 'and Secret Service into motion.', 'sentiment_score': 7.8, 'sentiment': 'positive'}]","[7.5, 8.5, 8, 7, None]","[7.5, 8.5, 8.0, 7.0]",0.775,0.05590169943749475,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,1.0195596700195118
20,20,20,-0.2373258024454116,1.6977611780166626,0.0558102913200855,8472,94.5199966430664,97.41999816894533,0.0, Immediately jumping around the former president,"[50854, 34457, 11233, 926, 264, 5819, 3868, 50999]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'Immediately jumping around the former president', 'sentiment_score': 3}}, {'sentiment_analysis': {'text': 'Immediately jumping around the former president', 'sentiment_score': 4}}, {'sentiment_analysis': {'text': 'Immediately jumping around the former president', 'sentiment_score': 3.5, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'Immediately jumping around the former president', 'sentiment_score': 3}}, {'sentiment_analysis': {'text': 'Immediately jumping around the former president', 'sentiment_score': 7.5, 'sentiment': 'Positive'}}]","[3, 4, 3.5, 3, 7.5]","[3.0, 4.0, 3.5, 3.0, 7.5]",0.42000000000000004,0.16911534525287764,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,-0.34712509847737977
21,21,21,-0.2373258024454116,1.6977611780166626,0.0558102913200855,8472,97.41999816894533,99.26000213623048,0.0, in a protective mode.,"[50999, 294, 257, 16314, 4391, 13, 51091]",0.25,0.0,0.25,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'Your text here', 'sentiment_score': 0.75, 'sentiment_label': 'positive'}}, {'sentiment_analysis': {'text': 'The text from 1-10', 'sentiment_score': 5, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'The text from 1-10', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'I really enjoyed the movie. It was so thrilling and exciting!', 'sentiment_score': 9.5, 'sentiment_label': 'positive'}}, {'sentiment_analysis': {'text': 'The text from 1-10 is not in the string format', 'sentiment_score': 3, 'sentiment_category': 'Neutral'}}]","[0.75, 5, 7, 9.5, 3]","[0.75, 5.0, 7.0, 9.5, 3.0]",0.505,0.3043024810940588,2.4728097266463234,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,-0.019890717287983303
22,22,22,-0.2373258024454116,1.6977611780166626,0.0558102913200855,8472,99.26000213623048,100.6999969482422,0.0, The crowd has been screaming.,"[51091, 440, 6919, 575, 668, 12636, 13, 51163]",0.0,0.0,0.0,0.394,0.606,0.0,-0.3818,"[{'text': 'The crowd has been screaming.', 'sentiment': {'polarity': 'positive', 'score': 8}}, {'text': 'The crowd has been screaming.', 'sentiment': '7'}, {'sentiment_analysis': {'text': 'The crowd has been screaming.', 'sentiment_score': 8}}, {'text': 'The crowd has been screaming.', 'sentiment': {'polarity': 'positive', 'magnitude': 0.9, 'score': 9}}, {'text': 'The crowd has been screaming.', 'sentiment': {'score': 8, 'interpretation': 'Positive'}}]","[8, None, 8, 9, 8]","[8.0, 8.0, 9.0, 8.0]",0.825,0.04330127018922193,-0.3125552895115417,2.2198760735379928,-1.0361117926039192,-0.40198493981783967,-1.3154817511822594,1.2120504824838625
23,23,23,-0.2373258024454116,1.6977611780166626,0.0558102913200855,8472,100.6999969482422,102.6999969482422,0.0, They are standing by.,"[51163, 814, 366, 4877, 538, 13, 51263]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'They are standing by.', 'sentiment_analysis': {'overall_score': 8.5, 'sentences': [{'text': 'They are standing by.', 'score': 8.5}]}}, {'text': 'They are standing by.', 'sentiment_analysis': {'score': 8, 'interpretation': 'Positive'}}, {'text': 'They are standing by.', 'sentiment_score': 9}, {'text': 'They are standing by.', 'sentiment_score': 8}, {'text': 'They are standing by.', 'sentiment_analysis': {'score': 8, 'sentiment': 'Positive'}}]","[None, 8, 9, 8, 8]","[8.0, 9.0, 8.0, 8.0]",0.825,0.04330127018922193,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,1.2120504824838625
24,24,24,-0.2373258024454116,1.6977611780166626,0.0558102913200855,8472,102.6999969482422,104.63999938964844,0.0," You can hear some voices there saying,","[51263, 509, 393, 1568, 512, 9802, 456, 1566, 11, 51360]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'You can hear some voices there saying', 'sentiment_score': 7}}, {'text': 'You can hear some voices there saying', 'sentiment': {'polarity': 'neutral', 'score': 5}}, {'sentiment_analysis': {'text': 'You can hear some voices there saying', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'You can hear some voices there saying,', 'sentiment_score': 8}}, {'sentiment_analysis': {'text': 'You can hear some voices there saying', 'sentiment_score': 7}}]","[7, 5, 7, 8, 7]","[7.0, 5.0, 7.0, 8.0, 7.0]",0.6799999999999999,0.09797958971132711,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,0.6538271263372447
25,25,25,-0.2373258024454116,1.6977611780166626,0.0558102913200855,8472,104.63999938964844,107.66000366210938,0.0, are we ready to go? Are we ready to go?,"[51360, 366, 321, 1919, 281, 352, 30, 2014, 321, 1919, 281, 352, 30, 51511]",0.2,0.0,0.2,0.0,0.599,0.401,0.6553,"[{'sentiment_analysis': {'text': 'Are we ready to go? Are we ready to go?', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'Are we ready to go? Are we ready to go?', 'sentiment_score': 5}}, {'sentiment_analysis': {'text': 'Are we ready to go? Are we ready to go?', 'sentiment_score': 8}}, {'sentiment_analysis': {'text': 'Are we ready to go? Are we ready to go?', 'sentiment_score': 8}}, {'sentiment_analysis': {'text': 'are we ready to go? Are we ready to go?', 'sentiment_score': 5}}]","[5, 5, 8, 8, 5]","[5.0, 5.0, 8.0, 8.0, 5.0]",0.62,0.14696938456699069,1.9157367234147504,-0.48168739510747166,-1.0664334941178186,1.5044061873866066,2.3500107423016585,0.4228381513800238
26,26,26,-0.2373258024454116,1.6977611780166626,0.0558102913200855,8472,107.66000366210938,110.13999938964844,0.0, We are looking at President Trump.,"[51511, 492, 366, 1237, 412, 3117, 3899, 13, 51635]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'We are looking at President Trump.', 'sentiment_analysis': {'score': 5, 'sentiment': 'Neutral'}}, {'text': 'We are looking at President Trump.', 'sentiment': {'score': 7}}, {'text': 'We are looking at President Trump.', 'sentiment_analysis': {'score': 5, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'We are looking at President Trump.', 'sentiment_score': 4.5, 'sentiment_label': 'Neutral'}}, {'text': 'We are looking at President Trump.', 'sentiment_analysis': {'score': 4, 'sentiment': 'Neutral'}}]","[5, 7, 5, 4.5, 4]","[5.0, 7.0, 5.0, 4.5, 4.0]",0.51,0.10198039027185568,-0.3125552895115417,-0.48168739510747166,0.6705668354641319,-0.40198493981783967,0.03393974531003627,-0.0006416360415481932
